date,time,price
2024-05-20, 15:00:00 ,66984 
2024-05-20, 16:00:00 ,67403 
2024-05-20, 17:00:00 ,68192 
2024-05-20, 18:00:00 ,68351 
2024-05-20, 19:00:00 ,68750 
2024-05-20, 20:00:00 ,70052 
2024-05-20, 21:00:00 ,69532 
2024-05-20, 22:00:00 ,69734 
2024-05-20, 23:00:00 ,69632 
2024-05-21, 00:00:00 ,71469 
2024-05-21, 01:00:00 ,71324 
2024-05-21, 02:00:00 ,71117 
2024-05-21, 03:00:00 ,71268 
2024-05-21, 04:00:00 ,71273 
2024-05-21, 05:00:00 ,70911 
2024-05-21, 06:00:00 ,71200 
2024-05-21, 07:00:00 ,71218 
2024-05-21, 08:00:00 ,70908 
2024-05-21, 09:00:00 ,70921 
2024-05-21, 10:00:00 ,71004 
2024-05-21, 11:00:00 ,71074 
2024-05-21, 12:00:00 ,71132 
2024-05-21, 13:00:00 ,71360 
2024-05-21, 14:00:00 ,70608 
2024-05-21, 15:00:00 ,70234 
2024-05-21, 16:00:00 ,69851 
2024-05-21, 17:00:00 ,69678 
2024-05-21, 18:00:00 ,69882 
2024-05-21, 19:00:00 ,69840 
2024-05-21, 20:00:00 ,69264 
2024-05-21, 21:00:00 ,69722 
2024-05-21, 22:00:00 ,69724 
2024-05-21, 23:00:00 ,70212 
2024-05-22, 00:00:00 ,70150 
2024-05-22, 01:00:00 ,70140 
2024-05-22, 02:00:00 ,70168 
2024-05-22, 03:00:00 ,70003 
2024-05-22, 04:00:00 ,69954 
2024-05-22, 05:00:00 ,69618 
2024-05-22, 06:00:00 ,69922 
2024-05-22, 07:00:00 ,69880 
2024-05-22, 08:00:00 ,69722 
2024-05-22, 09:00:00 ,70030 
2024-05-22, 10:00:00 ,70004 
2024-05-22, 11:00:00 ,70207 
2024-05-22, 12:00:00 ,69758 
2024-05-22, 13:00:00 ,69683 
2024-05-22, 14:00:00 ,69610 
2024-05-22, 15:00:00 ,70124 
2024-05-22, 16:00:00 ,70454 
2024-05-22, 17:00:00 ,70232 
2024-05-22, 18:00:00 ,69861 
2024-05-22, 19:00:00 ,69579 
2024-05-22, 20:00:00 ,69632 
2024-05-22, 21:00:00 ,69429 
2024-05-22, 22:00:00 ,69500 
2024-05-22, 23:00:00 ,69156 
2024-05-23, 00:00:00 ,69154 
2024-05-23, 01:00:00 ,69493 
2024-05-23, 02:00:00 ,69474 
2024-05-23, 03:00:00 ,69486 
2024-05-23, 04:00:00 ,69420 
2024-05-23, 05:00:00 ,69528 
2024-05-23, 06:00:00 ,69451 
2024-05-23, 07:00:00 ,69553 
2024-05-23, 08:00:00 ,69720 
2024-05-23, 09:00:00 ,69668 
2024-05-23, 10:00:00 ,69638 
2024-05-23, 11:00:00 ,69545 
2024-05-23, 12:00:00 ,69974 
2024-05-23, 13:00:00 ,69437 
2024-05-23, 14:00:00 ,68018 
2024-05-23, 15:00:00 ,67730 
2024-05-23, 16:00:00 ,68044 
2024-05-23, 17:00:00 ,67818 
2024-05-23, 18:00:00 ,67614 
2024-05-23, 19:00:00 ,67343 
2024-05-23, 20:00:00 ,67140 
2024-05-23, 21:00:00 ,67768 
2024-05-23, 22:00:00 ,67974 
2024-05-23, 23:00:00 ,67679 
2024-05-24, 00:00:00 ,67953 
2024-05-24, 01:00:00 ,67836 
2024-05-24, 02:00:00 ,67732 
2024-05-24, 03:00:00 ,67968 
2024-05-24, 04:00:00 ,67862 
2024-05-24, 05:00:00 ,67692 
2024-05-24, 06:00:00 ,67294 
2024-05-24, 07:00:00 ,66887 
2024-05-24, 08:00:00 ,67144 
2024-05-24, 09:00:00 ,67152 
2024-05-24, 10:00:00 ,67349 
2024-05-24, 11:00:00 ,67327 
2024-05-24, 12:00:00 ,67330 
2024-05-24, 13:00:00 ,67492 
2024-05-24, 14:00:00 ,67072 
2024-05-24, 15:00:00 ,67834 
2024-05-24, 16:00:00 ,68306 
2024-05-24, 17:00:00 ,68365 
2024-05-24, 18:00:00 ,68889 
2024-05-24, 19:00:00 ,68946 
2024-05-24, 20:00:00 ,69116 
2024-05-24, 21:00:00 ,68819 
2024-05-24, 22:00:00 ,68872 
2024-05-24, 23:00:00 ,68771 
2024-05-25, 00:00:00 ,68548 
2024-05-25, 01:00:00 ,68528 
2024-05-25, 02:00:00 ,68600 
2024-05-25, 03:00:00 ,68802 
2024-05-25, 04:00:00 ,68737 
2024-05-25, 05:00:00 ,68763 
2024-05-25, 06:00:00 ,68700 
2024-05-25, 07:00:00 ,68634 
2024-05-25, 08:00:00 ,68717 
2024-05-25, 09:00:00 ,68848 
2024-05-25, 10:00:00 ,69073 
2024-05-25, 11:00:00 ,69364 
2024-05-25, 12:00:00 ,69092 
2024-05-25, 13:00:00 ,69114 
2024-05-25, 14:00:00 ,69034 
2024-05-25, 15:00:00 ,69014 
2024-05-25, 16:00:00 ,68920 
2024-05-25, 17:00:00 ,68913 
2024-05-25, 18:00:00 ,69046 
2024-05-25, 19:00:00 ,69198 
2024-05-25, 20:00:00 ,69140 
2024-05-25, 21:00:00 ,69101 
2024-05-25, 22:00:00 ,69142 
2024-05-25, 23:00:00 ,69128 
2024-05-26, 00:00:00 ,69282 
2024-05-26, 01:00:00 ,69154 
2024-05-26, 02:00:00 ,69163 
2024-05-26, 03:00:00 ,68890 
2024-05-26, 04:00:00 ,69050 
2024-05-26, 05:00:00 ,68970 
2024-05-26, 06:00:00 ,69136 
2024-05-26, 07:00:00 ,69097 
2024-05-26, 08:00:00 ,69336 
2024-05-26, 09:00:00 ,69149 
2024-05-26, 10:00:00 ,69076 
2024-05-26, 11:00:00 ,69210 
2024-05-26, 12:00:00 ,69123 
2024-05-26, 13:00:00 ,68982 
2024-05-26, 14:00:00 ,69130 
2024-05-26, 15:00:00 ,69264 
2024-05-26, 16:00:00 ,68830 
2024-05-26, 17:00:00 ,68772 
2024-05-26, 18:00:00 ,68750 
2024-05-26, 19:00:00 ,68762 
2024-05-26, 20:00:00 ,68857 
2024-05-26, 21:00:00 ,68669 
2024-05-26, 22:00:00 ,68474 
2024-05-26, 23:00:00 ,68509 
2024-05-27, 00:00:00 ,68476 
2024-05-27, 01:00:00 ,68774 
2024-05-27, 02:00:00 ,69054 
2024-05-27, 03:00:00 ,69088 
2024-05-27, 04:00:00 ,68862 
2024-05-27, 05:00:00 ,68738 
2024-05-27, 06:00:00 ,68510 
2024-05-27, 07:00:00 ,68365 
2024-05-27, 08:00:00 ,68624 
2024-05-27, 09:00:00 ,68584 
2024-05-27, 10:00:00 ,68566 
2024-05-27, 11:00:00 ,68555 
2024-05-27, 12:00:00 ,68400 
2024-05-27, 13:00:00 ,68599 
2024-05-27, 14:00:00 ,68908 
2024-05-27, 15:00:00 ,69481 
2024-05-27, 16:00:00 ,70363 
2024-05-27, 17:00:00 ,70172 
2024-05-27, 18:00:00 ,70182 
2024-05-27, 19:00:00 ,69984 
2024-05-27, 20:00:00 ,69245 
2024-05-27, 21:00:00 ,69624 
2024-05-27, 22:00:00 ,69815 
2024-05-27, 23:00:00 ,69568 
2024-05-28, 00:00:00 ,69404 
2024-05-28, 01:00:00 ,69333 
2024-05-28, 02:00:00 ,68594 
2024-05-28, 03:00:00 ,68650 
2024-05-28, 04:00:00 ,68000 
2024-05-28, 05:00:00 ,67731 
2024-05-28, 06:00:00 ,67968 
2024-05-28, 07:00:00 ,67898 
2024-05-28, 08:00:00 ,67609 
2024-05-28, 09:00:00 ,68074 
2024-05-28, 10:00:00 ,68260 
2024-05-28, 11:00:00 ,68528 
2024-05-28, 12:00:00 ,68333 
2024-05-28, 13:00:00 ,68148 
2024-05-28, 14:00:00 ,67715 
2024-05-28, 15:00:00 ,67908 
2024-05-28, 16:00:00 ,68320 
2024-05-28, 17:00:00 ,67665 
2024-05-28, 18:00:00 ,67721 
2024-05-28, 19:00:00 ,67818 
2024-05-28, 20:00:00 ,68372 
2024-05-28, 21:00:00 ,68270 
2024-05-28, 22:00:00 ,68360 
2024-05-28, 23:00:00 ,68584 
2024-05-29, 00:00:00 ,68358 
2024-05-29, 01:00:00 ,68452 
2024-05-29, 02:00:00 ,68534 
2024-05-29, 03:00:00 ,68651 
2024-05-29, 04:00:00 ,68791 
2024-05-29, 05:00:00 ,68820 
2024-05-29, 06:00:00 ,68560 
2024-05-29, 07:00:00 ,68476 
2024-05-29, 08:00:00 ,67910 
2024-05-29, 09:00:00 ,67826 
2024-05-29, 10:00:00 ,67870 
2024-05-29, 11:00:00 ,67938 
2024-05-29, 12:00:00 ,67719 
2024-05-29, 13:00:00 ,67863 
2024-05-29, 14:00:00 ,67837 
2024-05-29, 15:00:00 ,67584 
2024-05-29, 16:00:00 ,67336 
2024-05-29, 17:00:00 ,67489 
2024-05-29, 18:00:00 ,67533 
2024-05-29, 19:00:00 ,67320 
2024-05-29, 20:00:00 ,67201 
2024-05-29, 21:00:00 ,67406 
2024-05-29, 22:00:00 ,67640 
2024-05-29, 23:00:00 ,67605 
2024-05-30, 00:00:00 ,67560 
2024-05-30, 01:00:00 ,67498 
2024-05-30, 02:00:00 ,67706 
2024-05-30, 03:00:00 ,67885 
2024-05-30, 04:00:00 ,68053 
2024-05-30, 05:00:00 ,68112 
2024-05-30, 06:00:00 ,68092 
2024-05-30, 07:00:00 ,67800 
2024-05-30, 08:00:00 ,67558 
2024-05-30, 09:00:00 ,67656 
2024-05-30, 10:00:00 ,67721 
2024-05-30, 11:00:00 ,67910 
2024-05-30, 12:00:00 ,67763 
2024-05-30, 13:00:00 ,68100 
2024-05-30, 14:00:00 ,68600 
2024-05-30, 15:00:00 ,68354 
2024-05-30, 16:00:00 ,68516 
2024-05-30, 17:00:00 ,68669 
2024-05-30, 18:00:00 ,69334 
2024-05-30, 19:00:00 ,69360 
2024-05-30, 20:00:00 ,68660 
2024-05-30, 21:00:00 ,68470 
2024-05-30, 22:00:00 ,68418 
2024-05-30, 23:00:00 ,68306 
2024-05-31, 00:00:00 ,68343 
2024-05-31, 01:00:00 ,68448 
2024-05-31, 02:00:00 ,68411 
2024-05-31, 03:00:00 ,68504 
2024-05-31, 04:00:00 ,68499 
2024-05-31, 05:00:00 ,68478 
2024-05-31, 06:00:00 ,68412 
2024-05-31, 07:00:00 ,68259 
2024-05-31, 08:00:00 ,68133 
2024-05-31, 09:00:00 ,68084 
2024-05-31, 10:00:00 ,67881 
2024-05-31, 11:00:00 ,68281 
2024-05-31, 12:00:00 ,68292 
2024-05-31, 13:00:00 ,68599 
2024-05-31, 14:00:00 ,68022 
2024-05-31, 15:00:00 ,67424 
2024-05-31, 16:00:00 ,67142 
2024-05-31, 17:00:00 ,67134 
2024-05-31, 18:00:00 ,67278 
2024-05-31, 19:00:00 ,67336 
2024-05-31, 20:00:00 ,67567 
2024-05-31, 21:00:00 ,67641 
2024-05-31, 22:00:00 ,67500 
2024-05-31, 23:00:00 ,67456 
2024-06-01, 00:00:00 ,67488 
2024-06-01, 01:00:00 ,67596 
2024-06-01, 02:00:00 ,67498 
2024-06-01, 03:00:00 ,67670 
2024-06-01, 04:00:00 ,67678 
2024-06-01, 05:00:00 ,67646 
2024-06-01, 06:00:00 ,67652 
2024-06-01, 07:00:00 ,67654 
2024-06-01, 08:00:00 ,67576 
2024-06-01, 09:00:00 ,67657 
2024-06-01, 10:00:00 ,67666 
2024-06-01, 11:00:00 ,67590 
2024-06-01, 12:00:00 ,67628 
2024-06-01, 13:00:00 ,67682 
2024-06-01, 14:00:00 ,67686 
2024-06-01, 15:00:00 ,67754 
2024-06-01, 16:00:00 ,67637 
2024-06-01, 17:00:00 ,67656 
2024-06-01, 18:00:00 ,67740 
2024-06-01, 19:00:00 ,67720 
2024-06-01, 20:00:00 ,67716 
2024-06-01, 21:00:00 ,67735 
2024-06-01, 22:00:00 ,67724 
2024-06-01, 23:00:00 ,67726 
2024-06-02, 00:00:00 ,67710 
2024-06-02, 01:00:00 ,67820 
2024-06-02, 02:00:00 ,67683 
2024-06-02, 03:00:00 ,67666 
2024-06-02, 04:00:00 ,67724 
2024-06-02, 05:00:00 ,67778 
2024-06-02, 06:00:00 ,67662 
2024-06-02, 07:00:00 ,67773 
2024-06-02, 08:00:00 ,67668 
2024-06-02, 09:00:00 ,67696 
2024-06-02, 10:00:00 ,67467 
2024-06-02, 11:00:00 ,67485 
2024-06-02, 12:00:00 ,68194 
2024-06-02, 13:00:00 ,67900 
2024-06-02, 14:00:00 ,68134 
2024-06-02, 15:00:00 ,68190 
2024-06-02, 16:00:00 ,68106 
2024-06-02, 17:00:00 ,68062 
2024-06-02, 18:00:00 ,67836 
2024-06-02, 19:00:00 ,67642 
2024-06-02, 20:00:00 ,67692 
2024-06-02, 21:00:00 ,67810 
2024-06-02, 22:00:00 ,67778 
2024-06-02, 23:00:00 ,67905 
2024-06-03, 00:00:00 ,67730 
2024-06-03, 01:00:00 ,67778 
2024-06-03, 02:00:00 ,68442 
2024-06-03, 03:00:00 ,68408 
2024-06-03, 04:00:00 ,68364 
2024-06-03, 05:00:00 ,68490 
2024-06-03, 06:00:00 ,68686 
2024-06-03, 07:00:00 ,69043 
2024-06-03, 08:00:00 ,68916 
2024-06-03, 09:00:00 ,69143 
2024-06-03, 10:00:00 ,69008 
2024-06-03, 11:00:00 ,68924 
2024-06-03, 12:00:00 ,69100 
2024-06-03, 13:00:00 ,69800 
2024-06-03, 14:00:00 ,69826 
2024-06-03, 15:00:00 ,68774 
2024-06-03, 16:00:00 ,69646 
2024-06-03, 17:00:00 ,69097 
2024-06-03, 18:00:00 ,69274 
2024-06-03, 19:00:00 ,69310 
2024-06-03, 20:00:00 ,69238 
2024-06-03, 21:00:00 ,69116 
2024-06-03, 22:00:00 ,69078 
2024-06-03, 23:00:00 ,69047 
2024-06-04, 00:00:00 ,68821 
2024-06-04, 01:00:00 ,69021 
2024-06-04, 02:00:00 ,69220 
2024-06-04, 03:00:00 ,69138 
2024-06-04, 04:00:00 ,69157 
2024-06-04, 05:00:00 ,69048 
2024-06-04, 06:00:00 ,68937 
2024-06-04, 07:00:00 ,68897 
2024-06-04, 08:00:00 ,69000 
2024-06-04, 09:00:00 ,68816 
2024-06-04, 10:00:00 ,68690 
2024-06-04, 11:00:00 ,68886 
2024-06-04, 12:00:00 ,68949 
2024-06-04, 13:00:00 ,68933 
2024-06-04, 14:00:00 ,69546 
2024-06-04, 15:00:00 ,69679 
2024-06-04, 16:00:00 ,70500 
2024-06-04, 17:00:00 ,70910 
2024-06-04, 18:00:00 ,70586 
2024-06-04, 19:00:00 ,70744 
2024-06-04, 20:00:00 ,70455 
2024-06-04, 21:00:00 ,70433 
2024-06-04, 22:00:00 ,70650 
2024-06-04, 23:00:00 ,70582 
2024-06-05, 00:00:00 ,70576 
2024-06-05, 01:00:00 ,70824 
2024-06-05, 02:00:00 ,71017 
2024-06-05, 03:00:00 ,70884 
2024-06-05, 04:00:00 ,70988 
2024-06-05, 05:00:00 ,71216 
2024-06-05, 06:00:00 ,71038 
2024-06-05, 07:00:00 ,71152 
2024-06-05, 08:00:00 ,71235 
2024-06-05, 09:00:00 ,70955 
2024-06-05, 10:00:00 ,70924 
2024-06-05, 11:00:00 ,70832 
2024-06-05, 12:00:00 ,70978 
2024-06-05, 13:00:00 ,70972 
2024-06-05, 14:00:00 ,70762 
2024-06-05, 15:00:00 ,70892 
2024-06-05, 16:00:00 ,71623 
2024-06-05, 17:00:00 ,71342 
2024-06-05, 18:00:00 ,71662 
2024-06-05, 19:00:00 ,71135 
2024-06-05, 20:00:00 ,71305 
2024-06-05, 21:00:00 ,71238 
2024-06-05, 22:00:00 ,71180 
2024-06-05, 23:00:00 ,71180 
2024-06-06, 00:00:00 ,71130 
2024-06-06, 01:00:00 ,71016 
2024-06-06, 02:00:00 ,71138 
2024-06-06, 03:00:00 ,71178 
2024-06-06, 04:00:00 ,71073 
2024-06-06, 05:00:00 ,71088 
2024-06-06, 06:00:00 ,70928 
2024-06-06, 07:00:00 ,70927 
2024-06-06, 08:00:00 ,71058 
2024-06-06, 09:00:00 ,70946 
2024-06-06, 10:00:00 ,71012 
2024-06-06, 11:00:00 ,71029 
2024-06-06, 12:00:00 ,71200 
2024-06-06, 13:00:00 ,71214 
2024-06-06, 14:00:00 ,71151 
2024-06-06, 15:00:00 ,71488 
