date,time,price
2024-06-22, 03:20:00 ,64238 
2024-06-22, 03:25:00 ,64186 
2024-06-22, 03:30:00 ,64238 
2024-06-22, 03:35:00 ,64200 
2024-06-22, 03:40:00 ,64215 
2024-06-22, 03:45:00 ,64201 
2024-06-22, 03:50:00 ,64190 
2024-06-22, 03:55:00 ,64212 
2024-06-22, 04:00:00 ,64235 
2024-06-22, 04:05:00 ,64205 
2024-06-22, 04:10:00 ,64224 
2024-06-22, 04:15:00 ,64198 
2024-06-22, 04:20:00 ,64190 
2024-06-22, 04:25:00 ,64172 
2024-06-22, 04:30:00 ,64184 
2024-06-22, 04:35:00 ,64181 
2024-06-22, 04:40:00 ,64200 
2024-06-22, 04:45:00 ,64213 
2024-06-22, 04:50:00 ,64232 
2024-06-22, 04:55:00 ,64252 
2024-06-22, 05:00:00 ,64280 
2024-06-22, 05:05:00 ,64276 
2024-06-22, 05:10:00 ,64242 
2024-06-22, 05:15:00 ,64204 
2024-06-22, 05:20:00 ,64222 
2024-06-22, 05:25:00 ,64256 
2024-06-22, 05:30:00 ,64293 
2024-06-22, 05:35:00 ,64282 
2024-06-22, 05:40:00 ,64312 
2024-06-22, 05:45:00 ,64300 
2024-06-22, 05:50:00 ,64346 
2024-06-22, 05:55:00 ,64328 
2024-06-22, 06:00:00 ,64347 
2024-06-22, 06:05:00 ,64366 
2024-06-22, 06:10:00 ,64346 
2024-06-22, 06:15:00 ,64363 
2024-06-22, 06:20:00 ,64390 
2024-06-22, 06:25:00 ,64315 
2024-06-22, 06:30:00 ,64334 
2024-06-22, 06:35:00 ,64356 
2024-06-22, 06:40:00 ,64374 
2024-06-22, 06:45:00 ,64424 
2024-06-22, 06:50:00 ,64402 
2024-06-22, 06:55:00 ,64370 
2024-06-22, 07:00:00 ,64358 
2024-06-22, 07:05:00 ,64372 
2024-06-22, 07:10:00 ,64300 
2024-06-22, 07:15:00 ,64290 
2024-06-22, 07:20:00 ,64286 
2024-06-22, 07:25:00 ,64326 
2024-06-22, 07:30:00 ,64333 
2024-06-22, 07:35:00 ,64352 
2024-06-22, 07:40:00 ,64387 
2024-06-22, 07:45:00 ,64410 
2024-06-22, 07:50:00 ,64388 
2024-06-22, 07:55:00 ,64408 
2024-06-22, 08:00:00 ,64441 
2024-06-22, 08:05:00 ,64404 
2024-06-22, 08:10:00 ,64314 
2024-06-22, 08:15:00 ,64336 
2024-06-22, 08:20:00 ,64299 
2024-06-22, 08:25:00 ,64296 
2024-06-22, 08:30:00 ,64293 
2024-06-22, 08:35:00 ,64278 
2024-06-22, 08:40:00 ,64278 
2024-06-22, 08:45:00 ,64278 
2024-06-22, 08:50:00 ,64278 
2024-06-22, 08:55:00 ,64249 
2024-06-22, 09:00:00 ,64240 
2024-06-22, 09:05:00 ,64248 
2024-06-22, 09:10:00 ,64233 
2024-06-22, 09:15:00 ,64234 
2024-06-22, 09:20:00 ,64190 
2024-06-22, 09:25:00 ,64272 
2024-06-22, 09:30:00 ,64262 
2024-06-22, 09:35:00 ,64256 
2024-06-22, 09:40:00 ,64244 
2024-06-22, 09:45:00 ,64266 
2024-06-22, 09:50:00 ,64254 
2024-06-22, 09:55:00 ,64260 
2024-06-22, 10:00:00 ,64282 
2024-06-22, 10:05:00 ,64242 
2024-06-22, 10:10:00 ,64300 
2024-06-22, 10:15:00 ,64304 
2024-06-22, 10:20:00 ,64300 
2024-06-22, 10:25:00 ,64251 
2024-06-22, 10:30:00 ,64264 
2024-06-22, 10:35:00 ,64241 
2024-06-22, 10:40:00 ,64252 
2024-06-22, 10:45:00 ,64275 
2024-06-22, 10:50:00 ,64263 
2024-06-22, 10:55:00 ,64262 
2024-06-22, 11:00:00 ,64262 
2024-06-22, 11:05:00 ,64262 
2024-06-22, 11:10:00 ,64272 
2024-06-22, 11:15:00 ,64252 
2024-06-22, 11:20:00 ,64206 
2024-06-22, 11:25:00 ,64208 
2024-06-22, 11:30:00 ,64219 
2024-06-22, 11:35:00 ,64224 
2024-06-22, 11:40:00 ,64236 
2024-06-22, 11:45:00 ,64236 
2024-06-22, 11:50:00 ,64258 
2024-06-22, 11:55:00 ,64224 
2024-06-22, 12:00:00 ,64224 
2024-06-22, 12:05:00 ,64242 
2024-06-22, 12:10:00 ,64259 
2024-06-22, 12:15:00 ,64258 
2024-06-22, 12:20:00 ,64250 
2024-06-22, 12:25:00 ,64302 
2024-06-22, 12:30:00 ,64286 
2024-06-22, 12:35:00 ,64259 
2024-06-22, 12:40:00 ,64278 
